Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,Federation,ParentFederation,Date,MeetCountry,MeetTown,MeetName,Sanctioned,IPF_WeightClass,Traditional_WeightClass
Julia Maślankowska,F,SBD,Raw,18.5,18-19,19-23,Juniors,46.74,47,102.5,107.5,-110.0,107.5,50.0,52.5,55.0,55.0,105.0,110.0,112.5,112.5,275.0,4,361.89,371.33,331.16,76.65,Yes,Poland,IPF,IPF,2023-08-27,Romania,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes,47kg,48kg
Julia Jurczyk,F,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,46.98,47,90.0,-95.0,-95.0,90.0,50.0,52.5,55.0,55.0,105.0,110.0,-115.0,110.0,255.0,3,334.3,343.05,305.82,70.72,Yes,Poland,IPF,IPF,2023-08-27,Romania,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes,47kg,48kg
Alicja Rojek,F,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,67.08,69,110.0,-115.0,115.0,115.0,65.0,67.5,-70.0,67.5,140.0,150.0,-157.5,150.0,332.5,7,344.51,340.88,300.74,70.0,Yes,Poland,IPF,IPF,2023-08-27,Romania,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes,69kg,67.5kg
Wiktoria Jozwiak,F,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,75.22,76,135.0,140.0,145.0,145.0,-65.0,65.0,70.0,70.0,162.5,172.5,-175.0,172.5,387.5,5,376.83,367.7,323.41,76.77,Yes,Poland,IPF,IPF,2023-08-27,Romania,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes,76kg,82.5kg
Lidia Grzeskowiak,F,SBD,Raw,15.0,13-15,14-18,Sub-Juniors,46.7,47,80.0,85.0,-90.0,85.0,40.0,45.0,-47.5,45.0,90.0,100.0,-110.0,100.0,230.0,7,302.86,310.75,277.16,64.16,Yes,Poland,IPF,IPF,2023-08-27,Romania,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes,47kg,48kg
Patrycja Tomczyk,F,SBD,Raw,20.5,20-23,19-23,Juniors,61.34,63,120.0,-125.0,127.5,127.5,75.0,-77.5,77.5,77.5,150.0,157.5,-160.0,157.5,362.5,18,396.33,397.32,350.95,80.71,Yes,Poland,IPF,IPF,2023-08-27,Romania,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes,63kg,67.5kg
Aleksandra Opioła,F,SBD,Raw,19.5,20-23,19-23,Juniors,75.56,76,140.0,147.5,-150.0,147.5,80.0,-85.0,-85.0,80.0,150.0,157.5,162.5,162.5,390.0,15,378.37,369.04,324.53,77.1,Yes,Poland,IPF,IPF,2023-08-27,Romania,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes,76kg,82.5kg
Wiktoria Dankowska,F,SBD,Raw,19.0,18-19,19-23,Juniors,56.56,57,100.0,107.5,110.0,110.0,65.0,70.0,-75.0,70.0,110.0,120.0,-125.0,120.0,300.0,17,345.46,350.24,309.74,70.78,Yes,Poland,IPF,IPF,2023-08-27,Romania,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes,57kg,60kg
Maciej Sławski,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,103.82,105,240.0,245.0,250.0,250.0,142.5,147.5,152.5,152.5,245.0,250.0,252.5,252.5,655.0,6,396.85,392.98,375.24,81.3,Yes,Poland,IPF,IPF,2023-08-27,Romania,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes,105kg,110kg
Dariusz Wszoła,M,SBD,Raw,33.5,24-34,24-39,Open,57.8,59,185.0,195.0,202.5,202.5,140.0,145.0,-150.0,145.0,180.0,190.0,200.0,200.0,547.5,2,476.79,483.46,473.12,91.6,Yes,Poland,IPF,IPF,2012-06-12,Sweden,Stockholm,World Classic Powerlifting Cup,Yes,59kg,60kg
